Mouse,Reward_zone,correction trials,condition_b1_p2
1,88,90.19607843,1
1,163,97.43589744,1
2,88,96.25,1
2,118,100,1
2,163,96,1
2,230,100,1
2,331,100,1
2,481,94.11764706,1
3,88,97.19626168,1
3,118,98.36065574,1
3,163,93.33333333,1
3,230,95.23809524,1
3,331,60.86956522,1
4,88,96.3963964,1
4,118,90.625,1
4,163,82.85714286,1
4,230,95.76271186,1
4,331,94.44444444,1
4,481,71.73913043,1
5,88,82.10526316,1
5,118,94.91525424,1
5,163,100,1
6,88,98.41269841,1
6,118,99.32432432,1
6,163,98.98989899,1
6,230,96.875,1
6,331,98.57142857,1
6,481,100,1
7,88,95.3125,1
7,118,95.45454545,1
7,163,98.11320755,1
7,230,100,1
7,331,97.82608696,1
7,481,97.22222222,1
1,88,50,2
1,163,100,2
2,88,77.77777778,2
2,118,100,2
2,163,100,2
2,230,50,2
2,331,66.66666667,2
2,481,50,2
3,88,76.92307692,2
3,118,53.33333333,2
3,163,44.44444444,2
3,230,20,2
3,331,0,2
4,88,61.53846154,2
4,118,57.14285714,2
4,163,37.5,2
4,230,7.142857143,2
4,331,12.5,2
4,481,0,2
5,88,63.63636364,2
5,118,85.71428571,2
5,163,50,2
6,88,85.71428571,2
6,118,55.55555556,2
6,163,25,2
6,230,18.18181818,2
6,331,0,2
6,481,0,2
7,88,100,2
7,118,20,2
7,163,33.33333333,2
7,230,0,2
7,331,0,2
7,481,0,2
